gene-id	gene-symbol	# diseases	# genes
23111	SPG20	2	15
4606	MYBPC2	1	66
11178	LZTS1	5	1724
100270644	CLLS5	2	161
22919	MAPRE1	2	689
9481	SLC25A27	1	552
23327	NEDD4L	3	450
6507	SLC1A3	8	1042
282552	IS2	1	0
3223	HOXC6	1	81
26958	COPG2	1	106
3244	HPE1	1	21
2280	FKBP1A	2	25
5581	PRKCE	15	3400
273	AMPH	1	671
471	ATIC	3	568
8626	TP63	59	3350
23596	OPN3	1	307
94313	AUTS5	2	254
23545	ATP6V0A2	3	3
10642	IGF2BP1	7	2446
2262	GPC5	4	517
9475	ROCK2	3	1593
1936	EEF1D	4	1939
2912	GRM2	5	711
27019	DNAI1	1	10
131	ADH7	8	1840
1565	CYP2D6	57	4091
84542	KIAA1841	1	95
100302514	NRCLP5	1	21
6016	RIT1	1	594
339145	FAM92B	1	186
27125	AFF4	1	193
7097	TLR2	70	2951
7991	TUSC3	6	1866
6708	SPTA1	11	705
51422	PRKAG2	10	652
449013	ANIB2	1	0
151516	ASPRV1	1	587
387577	AUTS3	2	254
7489	WSN	1	0
23096	IQSEC2	3	171
60675	PROK2	5	97
100240739	DUP18PDEL18Q	1	0
37	ACADVL	2	17
3875	KRT18	17	2695
6416	MAP2K4	10	2928
50979	MHW2	1	0
3659	IRF1	22	3052
100196913	SCZD14	1	552
9755	TBKBP1	2	508
50818	DYT10	2	2
1839	HBEGF	17	2682
1788	DNMT3A	11	2929
9462	RASAL2	2	486
11045	UPK1A	1	71
680	BRS3	2	1370
8826	IQGAP1	7	1400
23451	SF3B1	2	166
221687	RNF182	2	1644
7259	TSPYL1	1	0
334	APLP2	1	465
780909	PEE3	2	145
1997	ELF1	2	638
100270798	IBD24	2	161
6888	TALDO1	8	1114
5256	PHKA2	2	13
8400	SCZD6	1	552
1680	DFN4	1	0
2879	GPX4	9	2150
100196910	PPPD1	2	0
5984	RFC4	1	594
4043	LRPAP1	7	1517
5995	RGR	3	99
2077	ERF	3	478
285498	RNF212	1	0
2036	EPB41L1	2	552
7833	SLEB1	1	287
10266	RAMP2	3	1095
5588	PRKCQ	6	1913
143379	C10orf82	1	125
51765	MST4	2	1639
41	ASIC1	6	306
2887	GRB10	1	587
8934	RAB7L1	1	195
3084	NRG1	22	3575
9612	NCOR2	3	1941
8502	PKP4	1	552
100240732	IBD22	2	161
56652	C10orf2	9	288
4292	MLH1	52	4353
10842	PPP1R17	2	72
140805	HT	1	26
838	CASP5	3	1896
619394	SPOAN	1	0
84525	HOPX	3	1718
2664	GDI1	4	548
114890	MRSS	1	0
5019	OXCT1	1	0
81865	BFIC2	2	5
1121	CHM	5	187
8081	AD5	1	465
6493	SIM2	9	2657
896	CCND3	18	3611
341640	FREM2	1	3
5539	PPY	1	64
9896	FIG4	5	413
3672	ITGA1	9	1676
29948	OSGIN1	2	1564
54873	PALMD	2	308
497657	ANIB3	2	32
6470	SHMT1	14	2560
9341	VAMP3	1	90
3609	ILF3	1	492
5045	FURIN	9	1832
2786	GNG4	1	300
124925	SEZ6	1	80
503613	PSORS10	2	164
55825	PECR	2	84
1672	DEFB1	20	2388
81863	CTPL1	1	1
338596	ST8SIA6	3	332
2768	GNA12	5	2021
23014	FBXO21	1	106
80832	APOL4	1	552
9526	MPDU1	2	0
10935	PRDX3	5	1141
1102	RCBTB2	1	1064
7027	TFDP1	2	645
388939	C2orf71	2	80
8676	STX11	2	20
23469	PHF3	1	227
84254	CAMKK1	1	57
18	ABAT	7	344
65975	STK33	1	246
338322	NLRP10	1	415
22807	IKZF2	4	831
30011	SH3KBP1	2	1561
387119	CEP85L	4	359
5826	ABCD4	1	11
6598	SMARCB1	14	2086
78996	C7orf49	1	492
406953	MIR18A	1	594
63035	BCORL1	1	1272
54928	IMPAD1	1	0
135892	TRIM50	1	15
